title	year
情報基礎教育における教科書の作成および評価 (2003)	2003
ＷＷＷにおける探求学習支援のためのオリエンテーションツール (2003)	2003
不登校生徒に対する指導，退学者抑止を目的とした全日制高等学校におけるe-learning導入に関する一考察 (2003)	2003
平成１４年度　高等学校　商業科の情報教育指導者養成のための実践訓練コースの開発と評価 (2003)	2003
SIEMを導入したプログラミング教育の実践効果 (2003)	2003
高校数学教育におけるe-LearningシステムTESTSの継続的実践と運用評価 (2003)	2003
携帯情報通信端末の活用による教室－屋外－社会教育施設のシームレスな学習環境の開発 (2003)	2003
プログラミング学習者へのメソッド記述支援情報の提供 (2003)	2003
情報科教育法の授業における遠隔教育実習の試み (2003)	2003
e ラーニングを取り入れた大学授業における学習離脱の予測の試み (2003)	2003
大学の授業改善とICT――大学教育に尾を引く「学校知」 (2003)	2003
課題演習型授業を支援するシステムの開発と情報科教育法での活用 (2003)	2003
中学生の思考過程の分析とプログラミング学習カリキュラムの改善 (2003)	2003
獨協大学における情報環境の現状と今後の情報教育 (2003)	2003
多数の端末上のアプリケーション操作の記録再生を行う教育支援システム (2004)	2004
Squeak eToyを用いた問題解決型情報科学教育カリキュラムの開発と評価 (2004)	2004
開かれた学校を目指したWebコミュニティ (2004)	2004
社会人対象情報教育におけるXOOPSの活用 (2004)	2004
学生が作成した問題を利用する協調学習型オンラインテストシステム (2004)	2004
プログラミングを利用したネットワーク学習の試み (2004)	2004
幼稚園における遊具としてのコンピュータ利用の試み (2004)	2004
IT教育向けデスクトップ管理ツール「MultiVNC」の実践報告 (2004)	2004
インターラクティブな遠隔授業を支援するツールの開発 (2004)	2004
オンライン情報セキュリティ教材の開発 (2004)	2004
観光情報を提供するためのモバイル端末を利用した協調学習支援に関する研究 (2004)	2004
タイピング教育の現状と和文タイピング練習環境の構築 (2004)	2004
高校教科「情報C」教科書比較検討報告 (2004)	2004
メタ認知アプローチ式情報モラル教育の授業づくり (2004)	2004
学生のモチベーションの向上を目指したプログラミング入門教育の実践 (2004)	2004
プログラミング教育におけるレビュー・修正過程を考慮したポートフォリオ管理システム (2004)	2004
情報倫理ビデオ教材の開発と教材評価 (2004)	2004
プログラムの自動採点を核とした学習支援システムの構築 (2004)	2004
「情報」入試の試行の報告 (2004)	2004
情報倫理ビデオ教材製作の取り組み (2004)	2004
一斉授業での利用を想定したソフトウェア操作説明を支援するツール (2004)	2004
私立大学における情報リテラシ教育に関する一考察 (2004)	2004
数学e ラーニングにおけるコミュニケーション支援機能の応用 (2004)	2004
An Application of Educational Programming Language 'Dolittle' in Teaching and Learning of Mathematics (2004)	2004
日誌機能つきタッチタイプWBTシステムの開発と運用 (2004)	2004
Teaching Programming to Non-CS Major Students: Experiments with Storymaking Approach (2004)	2004
入力支援機能を備えた初学者用プログラミング環境PEN (2004)	2004
KNOPPIXを用いた情報教育支援システムの構築と実践 (2004)	2004
教科書とオンラインテストを活用したセルフラーニング型授業の実践例 (2004)	2004
学生主体のプロジェクトベース・ソフトウエア開発実践教育 (2004)	2004
数式表示可能なe-ラーニングシステムの開発 (2004)	2004
KT法を改良したグループ演習における個人の成績評価方法の提案 (2004)	2004
「情報」科目における「図書館」(その2) (2004)	2004
語学教育素材作成を支援する多言語分析ツールの開発 (2004)	2004
対話的学習教材の作成支援環境について (2004)	2004
オブジェクトモデルを用いたe-ラーニング用数学教材の開発 (2004)	2004
情報生産者教育としてのライティング教育 (2004)	2004
遠隔授業における携帯電話の利用システムとその結果 (2004)	2004
多数の端末上のアプリケーション操作の記録再生を行う教育支援システム (2005)	2005
開かれた学校を目指したWebコミュニティ (2005)	2005
Squeak eToyを用いた問題解決型情報科学教育カリキュラムの開発と評価 (2005)	2005
学生が作成した問題を利用する協調学習型オンラインテストシステム (2005)	2005
社会人対象情報教育におけるXOOPSの活用 (2005)	2005
プログラミングを利用したネットワーク学習の試み (2005)	2005
IT教育向けデスクトップ管理ツール「MultiVNC」の実践報告 (2005)	2005
幼稚園における遊具としてのコンピュータ利用の試み (2005)	2005
インターラクティブな遠隔授業を支援するツールの開発 (2005)	2005
オンライン情報セキュリティ教材の開発 (2005)	2005
タイピング教育の現状と和文タイピング練習環境の構築 (2005)	2005
メタ認知アプローチ式情報モラル教育の授業づくり (2005)	2005
観光情報を提供するためのモバイル端末を利用した協調学習支援に関する研究 (2005)	2005
高校教科「情報C」教科書比較検討報告 (2005)	2005
学生のモチベーションの向上を目指したプログラミング入門教育の実践 (2005)	2005
プログラミング教育におけるレビュー・修正過程を考慮したポートフォリオ管理システム (2005)	2005
プログラムの自動採点を核とした学習支援システムの構築 (2005)	2005
情報倫理ビデオ教材の開発と教材評価 (2005)	2005
「情報」入試の試行の報告 (2005)	2005
情報倫理ビデオ教材製作の取り組み (2005)	2005
私立大学における情報リテラシ教育に関する一考察 (2005)	2005
数学e ラーニングにおけるコミュニケーション支援機能の応用 (2005)	2005
一斉授業での利用を想定したソフトウェア操作説明を支援するツール (2005)	2005
An Application of Educational Programming Language 'Dolittle' in Teaching and Learning of Mathematics (2005)	2005
日誌機能つきタッチタイプWBTシステムの開発と運用 (2005)	2005
Teaching Programming to Non-CS Major Students: Experiments with Storymaking Approach (2005)	2005
入力支援機能を備えた初学者用プログラミング環境PEN (2005)	2005
KNOPPIXを用いた情報教育支援システムの構築と実践 (2005)	2005
教科書とオンラインテストを活用したセルフラーニング型授業の実践例 (2005)	2005
数式表示可能なe-ラーニングシステムの開発 (2005)	2005
学生主体のプロジェクトベース・ソフトウエア開発実践教育 (2005)	2005
「情報」科目における「図書館」(その2) (2005)	2005
KT法を改良したグループ演習における個人の成績評価方法の提案 (2005)	2005
語学教育素材作成を支援する多言語分析ツールの開発 (2005)	2005
対話的学習教材の作成支援環境について (2005)	2005
オブジェクトモデルを用いたe-ラーニング用数学教材の開発 (2005)	2005
遠隔授業における携帯電話の利用システムとその結果 (2005)	2005
情報生産者教育としてのライティング教育 (2005)	2005
携帯電話を用いた講義資料閲覧システムの構築 (2006)	2006
大学の新入生を対象にしたPC操作のスキルチェックテスト (2006)	2006
Pair- Programming in Online Programming Learning Environment (2006)	2006
新入生が受けた入学以前の情報教育の推移と今後の計画 (2006)	2006
ソフトウェア開発実践教育のための開発進行支援システム (2006)	2006
知的財産教育を構築する－情報化時代のコミュニケーション－ (2006)	2006
プログラミングの初歩概念を学ぶための日本語プログラミング環境 (2006)	2006
プログラミング学習の他教科への波及効果 ～数学と考える力を対象とした調査と検証計画 (2006)	2006
コラボレイティブ・マネジメント型情報教育によるソフトウエア技術者の育成と評価方法の提案 (2006)	2006
リアルタイム配信型遠隔講義システムの開発と評価 (2006)	2006
教科「情報」履修者と未履修者のレディネス比較－情報倫理の知識と意識を中心に－ (2006)	2006
Efficient Programming Learning using Educational Robot for Under-achievement Students (2006)	2006
衛星授業中継の工夫 (2006)	2006
学生ボランティアによるITコーディネーター派遣事業－地域の情報教育推進支援－ (2006)	2006
モチベーションに着目したプログラミング入門教育 (2006)	2006
VBAを用いたプログラミング指導実践 (2006)	2006
プログラミング環境PEN - 描画とファイルI/O機能の実装 (2006)	2006
Extraction of Characteristics in IT Gifted Children (2006)	2006
他教科とも連携した情報科の取り組み (2006)	2006
PDAと手書き数式インターフェースを用いた実践授業について (2006)	2006
文字メタデータを利用した文字学習コースウェアの開発 (2006)	2006
PC画面動画キャプチャー教材を活用した一般情報教育としてのCG科目moodleコース作成 (2006)	2006
Simple Method for 3D Planar Navigation with a Touchpad (2006)	2006
グリッドコンピューティングを用いた問題解決能力の育成 (2006)	2006
民産官学協働ソフトウエア開発による大学低学年教育の試み－ソフト・イノベーションの視点から (2006)	2006
普通教科「情報」における作品制作実習(プログラミング，表計算ソフトウェアのデータベース機能，情報の収集・整理・分析・発信などに関する作品制作について) (2006)	2006
The Effectiveness of the Use of Educational Contents in Primary and Secondary Schools in Korea (2006)	2006
リンク機能を持つ映像教材の作成と学習者の操作への対応 (2006)	2006
Designing a Module to Provide Feedback Instantly on Syntax Errors for Novice Learners in Dolittle (2006)	2006
3軸自律制御ロボットを用いた制御の学習 (2006)	2006
学習管理システムCFIVEの継続的な開発と運用の評価 (2006)	2006
数学図形問題を対象とした作問学習支援システムの提案 (2006)	2006
初心者の自己主導学習でのプログラミング学習パターン－ドリトルを利用した迷路脱出プログラムを作成する実験授業－ (2006)	2006
ライティング教育におけるブログの活用 (2006)	2006
映像とアニメーションによるe-learningコンテンツ「PCマエストロ」 (2006)	2006
カメラの後ろから指示を出しても、カメラの前ではその通りにできない話　～情報倫理ビデオIIと放送大学での授業 (2006)	2006
インターネットで得られる生物情報の性質～モンシデムシを例にして～ (2006)	2006
初等・中等教育におけるマルチメディア活用学習支援システムの開発 (2006)	2006
高校教科「情報」の教育効果 (2006)	2006
プログラム自動採点システムF-Java～もっともっと演習を!～ (2006)	2006
Aroe - Webプログラミングの実習に適したWeb技術統合環境 (2006)	2006
高校専門教科「情報」の現状と課題 (2006)	2006
日韓の情報教育の比較－初中等情報教育に関して－ (2006)	2006
映像教材を活用して「情報A」を学ぶ －NHK高校講座での試み－ (2006)	2006
小学生の情報モラルに関する学習支援パッケージの構築 (2006)	2006
紙と電子デバイスを相補的に扱う教育の情報化システム (2006)	2006
デジタル教科書作成ツールの開発と市販教科書への応用 (2006)	2006
教科情報の過去と未来-教科書を中心として- (2006)	2006
視覚障害者が学ぶ音地図の開発 (2006)	2006
LEDディスプレイを用いた電脳キャラクタのデザインおよび高校生の教育効果(3) (2006)	2006
「情報」基礎学力確認テストの実施と結果の分析 (2006)	2006
教室に設備不要なネットワーク型講義自動録画システム (2006)	2006
地域資源情報活用を目指したナレッジマネジメントシステムの設計 (2006)	2006
Javaプログラミング教育e-learningコンテンツ閲覧状況と成績との相関関係に関する一考察 (2006)	2006
多重の制約を利用した英語教育用例提示 (2006)	2006
小学校におけるWebページの現状と課題 (2006)	2006
模擬情報システム構築による情報教育と実習環境開発 (2006)	2006
物理と教科「情報」におけるコンピュータ活用 (2006)	2006
ジャーナル論文の書き方講座 (2007)	2007
教科「情報」導入過渡期における入学時初期条件の変化 (2007)	2007
LEDディスプレイを用いた電脳キャラクタのデザインおよび高校生の教育効果(4) (2007)	2007
ミニソフトウェアを用いて行う新しい情報リテラシー教育教材 (2007)	2007
大学一般情報教育の新たな地平を拓く -情報の意味作用を基軸とした「情報学」への接近- (2007)	2007
中学校技術教育と高校情報教育の連結について，知的財産の視点から (2007)	2007
e-learningを利用した講義「情報とシステム」の教育方法について (2007)	2007
Moodleを活用したeラーニングの実践 -eラーニング・マネジメントの失敗から学ぶ- (2007)	2007
ベクトル・行列の表示可能なｅラーニングの実践に関する研究 (2007)	2007
動作実習教育のための遠隔指導システムの提案 (2007)	2007
情報の科学的な理解を深めるための学習設計 -小学校の総合的な学習の時間で行う情報教育- (2007)	2007
完全e-learning型講義におけるデータの解析と各コンテンツの改善・運用に関する提案 (2007)	2007
情報教育に著作権と産業財産権を統合した知的財産権学習を導入する試み (2007)	2007
学生ボランティアによる地域への情報教育推進支援 -求められる支援のあり方とは- (2007)	2007
異なる学習集団の学生が協調的に作問可能なe-Learningシステムの開発と評価 (2007)	2007
「情報リテラシー教育」にとっての課題 (2007)	2007
A Developing Curriculum for solving the digital divide in elementary & secondary schools (2007)	2007
情報教育と21世紀の教育 (2007)	2007
講義ノートのアクセスログを活用したSIEMの効果の分析 (2007)	2007
NPR(Non-Programming Resource)とプログラミングをつなぐ取り組み -ドリトルによるタートルアルゴリズム- (2007)	2007
アノテーションを活用した教材コンテンツ作成環境の構築 (2007)	2007
2足歩行ロボット教材の開発と教育での利用 (2007)	2007
専門職大学院で修士号を与えるための Project Based Learning の実施方法 (2007)	2007
教育支援システムSOLAR-CATSの静止画放送機能と授業への応用 (2007)	2007
教師教育における記号論の重要性 (2007)	2007
プロジェクト指向教育による学生の意識変化 (2007)	2007
「一般情報」プレースメントテストのための調査 (2007)	2007
コンピュータを使わない情報科学教育 -Computer Science Unplugged の翻訳と実践- (2007)	2007
商業検定試験に向けたOSS環境での学習実践 (2007)	2007
情報の授業で統計を扱う (2007)	2007
モデル化とシミュレーションのビジュアル化教材の開発 (2007)	2007
プログラミング教育における小テストの実践報告 (2007)	2007
工科系大学における授業計画を重視した教科教育法の実践 (2007)	2007
Subversionを用いた学習管理システムの構築とプログラミング初学者への適用 (2007)	2007
初中等情報教育に関する日韓資料の対訳(日本語訳あるいは韓国語訳)の展示 (2007)	2007
展開図学習用電子教材「TENKAI」を利用した授業効果の統計的検証 (2007)	2007
Anchor Garden: オブジェクト指向言語におけるデータ構造の基本を理解するためのワークベンチ (2008)	2008
高等学校「情報」における情報モラル教育の効果と課題 (2008)	2008
モデル化とシミュレーション用ソフトウエアの韓国語版の開発 (2008)	2008
実践的IT知識体系としてのOSS学習ガイダンス (2008)	2008
双方向性を有した講義支援システムにおけるコメント収集手法の提案 (2008)	2008
経験デザインを基盤にした問題発見型学習とその教材開発 (2008)	2008
モチベーションの向上を目指した教育の実践例 (2008)	2008
アジア圏におけるアンプラグドの取り組みと工夫 (2008)	2008
情報戦略（情報システムの最上流工程）の教育方法について (2008)	2008
高校情報BにおけるCSアンプラグドの活用 (2008)	2008
コンピュータサイエンスアンプラグドの分析とCSアンプラグドデザインパターンの提案 (2008)	2008
秋田大学教育文化学部における教科「情報」教員養成に関する意識についての研究 (2008)	2008
日本の情報教育の現状と将来に向けての活動 (2008)	2008
グループレビューにおいて学生間での問題の改善を促進するナビゲーション機能の開発と評価 (2008)	2008
プロジェクト指向教育のモデル化と評価の試み (2008)	2008
3次元地球儀ソフトウェアを用いた地理学習支援システムの設計と実現 (2008)	2008
良い情報表現のための一般原則 (2008)	2008
学校非公式サイトを活用した学校評価支援に関する提案 (2008)	2008
コンピュータサイエンスアンプラグドの小学生向け実践の取り組み (2008)	2008
工業高校におけるロボットによる組込みシステム学習支援環境の実践と一考察 (2008)	2008
大学低学年向けWebプログラミング授業におけるPBL導入の試み (2008)	2008
大学での利用を想定した指静脈認証による出席確認システム (2008)	2008
大学生もアンプラグドー洋書講読と模擬授業による授業実践 (2008)	2008
文科系大学における入学時の一般情報能力の年次比較と今後の一般情報教育 (2008)	2008
中学校技術・家庭科における計測制御プログラムモデル (2008)	2008
「音楽を利用したアルゴリズムの理解」の実践 (2008)	2008
障害者職業能力開発校における情報教育の取り組み (2008)	2008
ラーニングユニットを活用した教育改善方法の提案 (2008)	2008
遠隔教育によるK12プログラミング教育プロジェクトの運営・評価 (2008)	2008
大学における情報技術に関する能力認定試験の分析－古典的テスト理論による分析と項目反応理論の適用可能性－ (2008)	2008
学生による「パソコン先生」ボランティア-情報教育支援活動へ参加した大学生の意識調査- (2008)	2008
短期大学におけるGoogleを用いた情報検索演習 (2008)	2008
Javaプログラミング単位認定型e-Learning授業に関する一考察 (2008)	2008
情報デザイン分野における教育手法の事例研究 (2008)	2008
学生が作成した問題の出題パターンによる類似度算出手法の提案と評価 (2008)	2008
栄養教育・指導技法の改善 (2008)	2008
Project-Based Learning Applied by Expert Role Model: Squeak eToys Game Programming Course for Novices (2008)	2008
プログラミング教育への導入のための情報システム概念に基づくアンプラグドワークショップ (2008)	2008
PISA・DeSeCo型能力の獲得を目指した、「情報科」の教授方法に関する提案 (2009)	2009
An Effective Learning Mode in Mobile Learning (2009)	2009
デジタルペンの野外学習への応用 (2009)	2009
プログラミングのスキル階層に関する研究 (2009)	2009
高等学校における「情報」と新入生の情報能力 (2009)	2009
情報系学生を対象としたオブジェクト指向までのプログラミング入門教育の実践と課題 (2009)	2009
学生による「パソコン先生」ボランティアⅡ -授業づくりプロジェクトの試み- (2009)	2009
AO入試を活用した受験生の情報学に関する素質と特性の分析についての研究 (2009)	2009
外国人留学生を対象とした日本語字幕付き講義コンテンツの開発と開発したコンテンツによる遠隔講義の有効性 (2009)	2009
A Study of Logical Operation in Programming Education Based on Elementary Student's Scratch Programming Tasks (2009)	2009
e-Learning型講義における学習データの解析およびドロップアウト早期発見チェックシートの提案 (2009)	2009
中国での情報教育支援の工夫 (2009)	2009
大学における情報サーバシステム評価実験の実践と効果 (2009)	2009
PBLは教育にどのようなインパクトがあるのか (2009)	2009
Relationship of the Type of Cyber Class Management to Factors Affecting Learner Satisfaction (2009)	2009
インタラクティブなウェブ上での数式表示 (2009)	2009
大学院の学生を対象とした小規模なプロジェクト型学習 (2009)	2009
モチベーションの向上を目指したプログラミング入門教育 (2009)	2009
2つの「情報科教育法」教科書の制作体験から (2009)	2009
高校情報科における「モラル」と「情報倫理」の学習項目・順序と理解度 (2009)	2009
PukiWiki用ドロープログラムのプラグインの試作と教育への応用 (2009)	2009
情報共通科目のPBLを活用した研究入門期教育－社会人基礎力から研究過程の体験へ－ (2009)	2009
オープンソースソフトウェアを活用した実践的情報技術教育の試み (2009)	2009
Global PBL Feasibility Studyの実践と得られた知見 (2009)	2009
学習者の多様性に配慮した協同学習の試み―グループ・ディスカッションとプロジェクト演習による情報リテラシー教育― (2009)	2009
ドリトルによる飛行船組込みシステムのチーム開発を指向した総合的な学習 (2009)	2009
CSアンプラグドの学習法とそのユニバーサル化 (2009)	2009
教員の負担軽減を考慮した中学生対象CG作成支援システムの開発 (2009)	2009
ICTを利用した論述支援システムの設計とその学習効果 (2009)	2009
PDFドキュメント添削ツールGABAとそれを用いたオンラインレポート提出・添削環境 (2009)	2009
表計算ソフトのマクロ処理を利用した簡便な学習システム構築の検討 (2009)	2009
回路の製作を取り入れた計測・制御学習用基板の開発 (2010)	2010
eポートフォリオを活用した授業における 多段階の振り返りの学習効果の考察 (2010)	2010
e-Learning型講義における成績と学習データから考えられるドロップアウト兆候者早期発見手法の提案と検証 (2010)	2010
Rを使った情報教育 (2010)	2010
文系大学における一般情報教育 (2010)	2010
SSH校における情報セキュリティを重視した無線LAN教育の実践 (2010)	2010
アンプラグドを活用した公開鍵暗号学習プログラムの情報科教育への適用 (2010)	2010
高等学校産業科における3学年同時のドリトルによるプログラミング実習 (2010)	2010
